"","Session","CT","NK","Period","SEQ_GRP","SEQ","NS","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.node_id","player.threshold","player.participate","player.user_name","player.avatar_id","player.round_payoff","player.subsession_id","player.group_id","player.payoff","group.id_in_subsession","group.network_id","group.subsession_id","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"30","S1","None","Local",2,"2",6,"Circle",14,"94eaoxt4",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:17.439358+00:00",1,NA,NA,102,5,28155,1,1,"Mouse",40,100,1877,7521,0,3,5631,1877,2,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"31","S1","None","Local",3,"2",4,"Clique",3,"c7ugcwsf",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:41.091308+00:00",1,NA,NA,108,1,28156,1,1,"Chicken",23,100,1878,7522,0,1,5632,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"32","S1","None","Local",3,"2",4,"Clique",4,"7ae3beiy",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:38.828981+00:00",1,NA,NA,58,2,28157,3,1,"Koala",10,0,1878,7522,0,1,5632,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"33","S1","None","Local",3,"2",4,"Clique",6,"cimne4tz",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:14.859023+00:00",1,NA,NA,103,3,28158,3,0,"Dog",27,50,1878,7522,0,1,5632,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"34","S1","None","Local",3,"2",4,"Clique",10,"0vkh83e8",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:06.610682+00:00",1,NA,NA,58,4,28159,3,1,"Bull",6,0,1878,7522,0,1,5632,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"35","S1","None","Local",3,"2",4,"Clique",11,"e74egiuo",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:48.129488+00:00",1,NA,NA,56,5,28160,3,0,"Seal",48,50,1878,7522,0,1,5632,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"36","S1","None","Local",3,"2",5,"Star",1,"dw8k5pwv",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:13.938215+00:00",1,NA,NA,58,1,28161,1,0,"Dolphin",12,50,1878,7523,0,2,5633,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"37","S1","None","Local",3,"2",5,"Star",5,"hyvqayls",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:26.567448+00:00",1,NA,NA,9,2,28162,3,1,"Deer",36,0,1878,7523,0,2,5633,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"38","S1","None","Local",3,"2",5,"Star",8,"29lmmbnh",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:30.829696+00:00",1,NA,NA,107,3,28163,3,1,"Snail",50,0,1878,7523,0,2,5633,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"39","S1","None","Local",3,"2",5,"Star",13,"3dn71y53",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:31.828150+00:00",1,NA,NA,4,4,28164,3,1,"Gorilla",13,0,1878,7523,0,2,5633,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
