session.code,subsession__round_number,network_id,network_position,network_type,createdBy__bot,createdBy__code,createdBy__avatar,createdBy__threshold,createdBy__position,wall__node__bot,wall__code,wall__avatar,wall__threshold,wall__position,message,deleted,datetime
xsrkblkf,2,6396,3,circle,False,lh1cwegn,Bee,0.0,4,False,253gy1pf,Mouse,0.0,5,I will participate.,False,2018-09-19 18:42:10.859484+00:00
xsrkblkf,2,6396,3,circle,False,lh1cwegn,Bee,0.0,4,False,ap3lj1gm,Tuna,0.0,3,I will participate.,False,2018-09-19 18:42:10.884765+00:00
xsrkblkf,2,6395,2,star,False,jc3705q8,Deer,0.0,2,False,fb0l0eka,Tiger,0.0,1,I will participate.,False,2018-09-19 18:42:14.962059+00:00
xsrkblkf,2,6396,3,circle,False,ap3lj1gm,Tuna,0.0,3,False,lh1cwegn,Bee,0.0,4,I will participate.,False,2018-09-19 18:42:16.211478+00:00
xsrkblkf,2,6396,3,circle,False,ap3lj1gm,Tuna,0.0,3,False,covj1do8,Monkey,0.0,2,I will participate.,False,2018-09-19 18:42:16.218819+00:00
xsrkblkf,2,6395,2,star,False,fb0l0eka,Tiger,0.0,1,False,kk3fvdyr,Fish,0.0,3,I will participate.,False,2018-09-19 18:42:20.107947+00:00
xsrkblkf,2,6396,3,circle,False,ap3lj1gm,Tuna,0.0,3,False,ap3lj1gm,Tuna,0.0,3,I will participate.,False,2018-09-19 18:42:20.592798+00:00
xsrkblkf,3,6397,1,clique,False,idoj6y7e,Gorilla,1.0,5,False,5t9symag,Chicken,1.0,2,I will participate.,False,2018-09-19 18:42:26.607017+00:00
xsrkblkf,3,6397,1,clique,False,idoj6y7e,Gorilla,1.0,5,False,usyhkbnv,Dog,1.0,3,I will participate.,False,2018-09-19 18:42:26.611592+00:00
xsrkblkf,3,6397,1,clique,False,idoj6y7e,Gorilla,1.0,5,False,7tnlu5eg,Wolf,1.0,4,I will participate.,False,2018-09-19 18:42:26.613556+00:00
xsrkblkf,3,6397,1,clique,False,idoj6y7e,Gorilla,1.0,5,False,u7123h8h,Cat,0.0,1,I will participate.,False,2018-09-19 18:42:26.691784+00:00
xsrkblkf,3,6397,1,clique,False,usyhkbnv,Dog,1.0,3,False,7tnlu5eg,Wolf,1.0,4,I will not participate.,False,2018-09-19 18:42:27.244253+00:00
xsrkblkf,3,6397,1,clique,False,usyhkbnv,Dog,1.0,3,False,idoj6y7e,Gorilla,1.0,5,I will not participate.,False,2018-09-19 18:42:27.252144+00:00
xsrkblkf,3,6397,1,clique,False,usyhkbnv,Dog,1.0,3,False,5t9symag,Chicken,1.0,2,I will not participate.,False,2018-09-19 18:42:27.260889+00:00
xsrkblkf,3,6397,1,clique,False,usyhkbnv,Dog,1.0,3,False,u7123h8h,Cat,0.0,1,I will not participate.,False,2018-09-19 18:42:27.317120+00:00
xsrkblkf,3,6397,1,clique,False,u7123h8h,Cat,0.0,1,False,idoj6y7e,Gorilla,1.0,5,I will participate.,False,2018-09-19 18:42:28.039343+00:00
xsrkblkf,3,6397,1,clique,False,u7123h8h,Cat,0.0,1,False,7tnlu5eg,Wolf,1.0,4,I will participate.,False,2018-09-19 18:42:28.058761+00:00
xsrkblkf,3,6397,1,clique,False,u7123h8h,Cat,0.0,1,False,usyhkbnv,Dog,1.0,3,I will participate.,False,2018-09-19 18:42:28.126234+00:00
xsrkblkf,3,6397,1,clique,False,u7123h8h,Cat,0.0,1,False,5t9symag,Chicken,1.0,2,I will participate.,False,2018-09-19 18:42:28.144700+00:00
xsrkblkf,3,6397,1,clique,False,7tnlu5eg,Wolf,1.0,4,False,idoj6y7e,Gorilla,1.0,5,I will not participate.,False,2018-09-19 18:42:31.579503+00:00
xsrkblkf,3,6397,1,clique,False,7tnlu5eg,Wolf,1.0,4,False,usyhkbnv,Dog,1.0,3,I will not participate.,False,2018-09-19 18:42:31.652793+00:00
xsrkblkf,3,6397,1,clique,False,7tnlu5eg,Wolf,1.0,4,False,5t9symag,Chicken,1.0,2,I will not participate.,False,2018-09-19 18:42:31.753452+00:00
xsrkblkf,3,6397,1,clique,False,7tnlu5eg,Wolf,1.0,4,False,u7123h8h,Cat,0.0,1,I will not participate.,False,2018-09-19 18:42:31.780803+00:00
xsrkblkf,3,6397,1,clique,False,idoj6y7e,Gorilla,1.0,5,False,idoj6y7e,Gorilla,1.0,5,I will not participate.,False,2018-09-19 18:42:34.116680+00:00
xsrkblkf,3,6397,1,clique,False,5t9symag,Chicken,1.0,2,False,idoj6y7e,Gorilla,1.0,5,I will not participate.,False,2018-09-19 18:42:34.566944+00:00
xsrkblkf,3,6397,1,clique,False,5t9symag,Chicken,1.0,2,False,7tnlu5eg,Wolf,1.0,4,I will not participate.,False,2018-09-19 18:42:34.590824+00:00
xsrkblkf,3,6397,1,clique,False,5t9symag,Chicken,1.0,2,False,usyhkbnv,Dog,1.0,3,I will not participate.,False,2018-09-19 18:42:34.602236+00:00
xsrkblkf,3,6397,1,clique,False,5t9symag,Chicken,1.0,2,False,u7123h8h,Cat,0.0,1,I will not participate.,False,2018-09-19 18:42:34.638471+00:00
xsrkblkf,3,6397,1,clique,False,u7123h8h,Cat,0.0,1,False,u7123h8h,Cat,0.0,1,I will participate.,False,2018-09-19 18:42:41.720889+00:00
xsrkblkf,3,6399,3,circle,False,lh1cwegn,Seal,1.0,4,False,253gy1pf,Rat,1.0,5,I will participate.,False,2018-09-19 18:42:52.661599+00:00
xsrkblkf,3,6399,3,circle,False,lh1cwegn,Seal,1.0,4,False,ap3lj1gm,Swan,1.0,3,I will participate.,False,2018-09-19 18:42:52.677744+00:00
xsrkblkf,3,6398,2,star,False,fb0l0eka,Dolphin,0.0,1,False,jc3705q8,Deer,1.0,2,I will participate.,False,2018-09-19 18:42:55.014716+00:00
xsrkblkf,3,6398,2,star,False,jnsblp1s,Bull,1.0,4,False,fb0l0eka,Dolphin,0.0,1,I will participate.,False,2018-09-19 18:42:55.542177+00:00
xsrkblkf,3,6398,2,star,False,kk3fvdyr,Bear,1.0,3,False,fb0l0eka,Dolphin,0.0,1,I will not participate.,False,2018-09-19 18:42:55.659184+00:00
xsrkblkf,3,6398,2,star,False,8k8pymq3,Hippo,1.0,5,False,fb0l0eka,Dolphin,0.0,1,I will participate.,False,2018-09-19 18:42:57.359739+00:00
xsrkblkf,3,6399,3,circle,False,ap3lj1gm,Swan,1.0,3,False,covj1do8,Snail,1.0,2,I will participate.,False,2018-09-19 18:42:58.502596+00:00
xsrkblkf,3,6399,3,circle,False,ap3lj1gm,Swan,1.0,3,False,lh1cwegn,Seal,1.0,4,I will participate.,False,2018-09-19 18:42:58.562249+00:00
xsrkblkf,3,6398,2,star,False,fb0l0eka,Dolphin,0.0,1,False,kk3fvdyr,Bear,1.0,3,I will participate.,False,2018-09-19 18:43:01.315624+00:00
xsrkblkf,3,6399,3,circle,False,ap3lj1gm,Swan,1.0,3,False,ap3lj1gm,Swan,1.0,3,I will participate.,False,2018-09-19 18:43:03.358079+00:00
xsrkblkf,3,6399,3,circle,False,covj1do8,Snail,1.0,2,False,ap3lj1gm,Swan,1.0,3,I will participate.,False,2018-09-19 18:43:06.259445+00:00
xsrkblkf,3,6399,3,circle,False,covj1do8,Snail,1.0,2,False,rwbkmsn3,Koala,0.0,1,I will participate.,False,2018-09-19 18:43:06.262768+00:00
xsrkblkf,3,6398,2,star,False,jc3705q8,Deer,1.0,2,False,fb0l0eka,Dolphin,0.0,1,I will participate.,False,2018-09-19 18:43:07.032189+00:00
xsrkblkf,3,6398,2,star,False,fb0l0eka,Dolphin,0.0,1,False,8k8pymq3,Hippo,1.0,5,I will participate.,False,2018-09-19 18:43:10.850401+00:00
xsrkblkf,3,6399,3,circle,False,rwbkmsn3,Koala,0.0,1,False,253gy1pf,Rat,1.0,5,I will not participate.,False,2018-09-19 18:43:20.652118+00:00
xsrkblkf,3,6399,3,circle,False,rwbkmsn3,Koala,0.0,1,False,covj1do8,Snail,1.0,2,I will not participate.,False,2018-09-19 18:43:20.659015+00:00
xsrkblkf,3,6398,2,star,False,fb0l0eka,Dolphin,0.0,1,False,jnsblp1s,Bull,1.0,4,I will participate.,False,2018-09-19 18:43:29.888675+00:00
xsrkblkf,4,6400,1,clique,False,usyhkbnv,Crab,0.0,3,False,7tnlu5eg,Sheep,1.0,4,I will participate.,False,2018-09-19 18:43:42.804746+00:00
xsrkblkf,4,6400,1,clique,False,usyhkbnv,Crab,0.0,3,False,idoj6y7e,Snail,1.0,5,I will participate.,False,2018-09-19 18:43:42.815076+00:00
xsrkblkf,4,6400,1,clique,False,usyhkbnv,Crab,0.0,3,False,5t9symag,Squirrel,1.0,2,I will participate.,False,2018-09-19 18:43:42.828551+00:00
xsrkblkf,4,6400,1,clique,False,usyhkbnv,Crab,0.0,3,False,u7123h8h,Eagle,0.0,1,I will participate.,False,2018-09-19 18:43:42.883786+00:00
xsrkblkf,4,6400,1,clique,False,u7123h8h,Eagle,0.0,1,False,7tnlu5eg,Sheep,1.0,4,I will participate.,False,2018-09-19 18:43:46.475175+00:00
xsrkblkf,4,6400,1,clique,False,u7123h8h,Eagle,0.0,1,False,usyhkbnv,Crab,0.0,3,I will participate.,False,2018-09-19 18:43:46.475936+00:00
xsrkblkf,4,6400,1,clique,False,u7123h8h,Eagle,0.0,1,False,idoj6y7e,Snail,1.0,5,I will participate.,False,2018-09-19 18:43:46.489148+00:00
xsrkblkf,4,6400,1,clique,False,u7123h8h,Eagle,0.0,1,False,5t9symag,Squirrel,1.0,2,I will participate.,False,2018-09-19 18:43:46.562942+00:00
xsrkblkf,4,6400,1,clique,False,7tnlu5eg,Sheep,1.0,4,False,usyhkbnv,Crab,0.0,3,I will not participate.,False,2018-09-19 18:43:48.687908+00:00
xsrkblkf,4,6400,1,clique,False,7tnlu5eg,Sheep,1.0,4,False,idoj6y7e,Snail,1.0,5,I will not participate.,False,2018-09-19 18:43:48.693592+00:00
xsrkblkf,4,6400,1,clique,False,7tnlu5eg,Sheep,1.0,4,False,5t9symag,Squirrel,1.0,2,I will not participate.,False,2018-09-19 18:43:48.703654+00:00
xsrkblkf,4,6400,1,clique,False,7tnlu5eg,Sheep,1.0,4,False,u7123h8h,Eagle,0.0,1,I will not participate.,False,2018-09-19 18:43:48.754429+00:00
xsrkblkf,4,6400,1,clique,False,u7123h8h,Eagle,0.0,1,False,u7123h8h,Eagle,0.0,1,I will participate.,False,2018-09-19 18:43:54.780152+00:00
